38.028, 18.163, 87.849
36.756, 19.704, 86.037
35.624, 21.353, 85.235
34.643, 23.094, 84
33.837, 24.923, 83.625
33.233, 26.829, 83.436
32.826, 28.785, 83.981
32.618, 30.773, 85.113
32.613, 32.773, 85.828
32.79, 34.764, 87.41
33.125, 36.735, 89.036
33.605, 38.676, 89.821
34.215, 40.58, 91.284
34.928, 42.448, 92.573
35.74, 44.276, 93.149
36.629, 46.067, 94.169
37.591, 47.82, 94.618
38.612, 49.54, 95.408
39.688, 51.225, 95.708
40.808, 52.882, 93.016
42.02, 54.327, 90.405
43.842, 53.503, 90.456
45.612, 52.573, 90.573
47.324, 51.539, 90.633
48.968, 50.401, 90.747
50.546, 49.173, 90.837
52.047, 47.852, 90.868
53.469, 46.446, 90.896
54.81, 44.963, 90.868
56.059, 43.402, 90.829
57.216, 41.771, 90.697
58.278, 40.077, 90.485
59.236, 38.321, 90.346
60.081, 36.509, 89.999
60.813, 34.648, 89.554
61.423, 32.744, 89.01
61.902, 30.803, 88.7
62.236, 28.831, 88.013
62.421, 26.841, 87.247
62.448, 24.842, 86.432
62.306, 22.848, 85.615
61.986, 20.874, 84.861
61.482, 18.94, 84.251
61.134, 18.508, 97.293
61.273, 20.503, 96.602
61.372, 22.501, 95.478
61.423, 24.5, 92.78
61.419, 26.5, 90.001
61.347, 28.499, 87.133
61.189, 30.492, 84.168
60.932, 32.475, 81.094
60.552, 34.438, 77.9
60.023, 36.366, 74.57
59.314, 38.235, 71.084
58.385, 40.004, 67.419
57.215, 41.623, 63.545
55.803, 43.037, 59.419
54.166, 44.18, 54.985
52.362, 45.038, 50.16
50.452, 45.623, 44.817
48.483, 45.966, 38.743
46.49, 46.108, 31.516
44.49, 46.085, 22.032
42.585, 45.935, 0
42.585, 45.935, 0
22.647, 44.361, 0
endData
127
100
200
-42.407, -60.956, -48.374, -51.952, -57.766, -51.877, -59.766, -27.186
-59.766, -27.186, -60.627, -34.813, -60.627, -34.813, -61.488, -42.44
-61.488, -42.44, -49.54, -50.602, -49.54, -50.602, -37.592, -58.764
-37.592, -58.764, -2, -58.975, -2, -58.975, 33.592, -59.186
33.592, -59.186, 64.911, -52.286, 53.504, -36.453, 61.694, -20.828
61.694, -20.828, 62.05, -56.72, -26.959, -44.734, 47.289, -6.778
47.289, -6.778, 29.292, -13.485, 29.292, -13.485, 11.294, -20.193
11.294, -20.193, 10.449, -8.523, 29.787, 9.078, 47.868, 10.54
47.868, 10.54, 26.032, 22.866, 30.963, 39.419, 41.881, 54.387
41.881, 54.387, 57.377, 48.048, 66.006, 30.614, 61.075, 17.759
61.075, 17.759, 62.484, 34.489, 60.371, 47.872, 42.585, 45.935
#PATH.JERRYIO-DATA {"appVersion":"0.6.0","format":"LemLib v0.4.x (inch, byte-voltage)","gc":{"robotWidth":14.7,"robotHeight":12.5,"robotIsHolonomic":false,"showRobot":true,"uol":2.54,"pointDensity":2,"controlMagnetDistance":0.7750015500031,"fieldImage":{"displayName":"VRC 2024 - Over Under (Skill)","signature":"VRC 2024 - Over Under (Skill)","origin":{"__type":"built-in"}}},"paths":[{"segments":[{"controls":[{"uid":"z2L2a3JhRW","x":-42.407057871503945,"y":-60.95616779928929,"lock":false,"visible":true,"heading":330,"__type":"end-point"},{"uid":"ICoH2IsC8W","x":-48.37381443842883,"y":-51.951804738858016,"lock":false,"visible":true,"__type":"control"},{"uid":"wWAcyBBDXC","x":-57.766321234243065,"y":-51.87728054551575,"lock":false,"visible":true,"__type":"control"},{"uid":"ru2fzQJ2cX","x":-59.76631269008762,"y":-27.18550419177367,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"yVHfXsMLrg"},{"controls":[{"uid":"ru2fzQJ2cX","x":-59.76631269008762,"y":-27.18550419177367,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"hXxrLnXk8v","x":-61.488346741692865,"y":-42.44036484478402,"lock":false,"visible":true,"heading":75,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"im8MNGDFYK"},{"controls":[{"uid":"hXxrLnXk8v","x":-61.488346741692865,"y":-42.44036484478402,"lock":false,"visible":true,"heading":75,"__type":"end-point"},{"uid":"l5mv2qNlHT","x":-37.59244775125661,"y":-58.76361978895526,"lock":false,"visible":true,"heading":90,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"Y3zzfVS4gN"},{"controls":[{"uid":"l5mv2qNlHT","x":-37.59244775125661,"y":-58.76361978895526,"lock":false,"visible":true,"heading":90,"__type":"end-point"},{"uid":"bRvt7ZsIjQ","x":33.59168461052049,"y":-59.18613569043936,"lock":false,"visible":true,"heading":90,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"eIjPnFTwaZ"},{"controls":[{"uid":"bRvt7ZsIjQ","x":33.59168461052049,"y":-59.18613569043936,"lock":false,"visible":true,"heading":90,"__type":"end-point"},{"uid":"4q36YxBf88","x":64.91087220061564,"y":-52.28614271302579,"lock":false,"visible":true,"__type":"control"},{"uid":"OHXb7O1Ssi","x":53.50422026057669,"y":-36.45265550825358,"lock":false,"visible":true,"__type":"control"},{"uid":"2HWbsMV4dh","x":61.6935365824051,"y":-20.827750001634016,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"RApoDKB9lu"},{"controls":[{"uid":"2HWbsMV4dh","x":61.6935365824051,"y":-20.827750001634016,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"TFpNT1k8rV","x":62.049989495933104,"y":-56.720364236745944,"lock":false,"visible":true,"__type":"control"},{"uid":"CZpmKQhPd0","x":-26.959191371026193,"y":-44.73409050403819,"lock":false,"visible":true,"__type":"control"},{"uid":"NFORHa1gJI","x":47.289115362135625,"y":-6.777557017130361,"lock":false,"visible":true,"heading":90,"__type":"end-point"}],"speedProfiles":[{"uid":"RecSZ1olHD","xPos":0.32653061224489793,"yPos":1,"followBentRate":true}],"lookaheadKeyframes":[],"uid":"C7JReEPoyL"},{"controls":[{"uid":"NFORHa1gJI","x":47.289115362135625,"y":-6.777557017130361,"lock":false,"visible":true,"heading":90,"__type":"end-point"},{"uid":"UdvM5JZE3Y","x":11.29414617762314,"y":-20.193419386889882,"lock":false,"visible":true,"heading":50,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"4MlDRctFA5"},{"controls":[{"uid":"UdvM5JZE3Y","x":11.29414617762314,"y":-20.193419386889882,"lock":false,"visible":true,"heading":50,"__type":"end-point"},{"uid":"bGaPdF2zvZ","x":10.448677303139721,"y":-8.522621673829324,"lock":false,"visible":true,"__type":"control"},{"uid":"qLr51JZGYP","x":29.78740989524571,"y":9.078198517531224,"lock":false,"visible":true,"__type":"control"},{"uid":"JduCitobrD","x":47.86797550191045,"y":10.539510365208306,"lock":false,"visible":true,"heading":90,"__type":"end-point"}],"speedProfiles":[{"uid":"LlbtvOEVaY","xPos":0.5,"yPos":1,"followBentRate":true}],"lookaheadKeyframes":[],"uid":"oYQIIRzEBe"},{"controls":[{"uid":"JduCitobrD","x":47.86797550191045,"y":10.539510365208306,"lock":false,"visible":true,"heading":90,"__type":"end-point"},{"uid":"QEPaJSHWIK","x":26.03206502747528,"y":22.86623402013139,"lock":false,"visible":true,"__type":"control"},{"uid":"pliSmTvTGT","x":30.9627544894445,"y":39.41926292817096,"lock":false,"visible":true,"__type":"control"},{"uid":"IAbE8Gu1uT","x":41.88070972666208,"y":54.387427366291845,"lock":false,"visible":true,"heading":120,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"b3J2nI0vG4"},{"controls":[{"uid":"IAbE8Gu1uT","x":41.88070972666208,"y":54.387427366291845,"lock":false,"visible":true,"heading":120,"__type":"end-point"},{"uid":"nOOrNFfhQe","x":57.377162321422524,"y":48.04796948661711,"lock":false,"visible":true,"__type":"control"},{"uid":"Tedc9oL3j6","x":66.00586887986871,"y":30.61446031751161,"lock":false,"visible":true,"__type":"control"},{"uid":"LoYdB5uikX","x":61.07517941789947,"y":17.75944850594897,"lock":false,"visible":true,"heading":180,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"4VuJslVC2Y"},{"controls":[{"uid":"LoYdB5uikX","x":61.07517941789947,"y":17.75944850594897,"lock":false,"visible":true,"heading":180,"__type":"end-point"},{"uid":"GdKPxpb02v","x":62.48394783560499,"y":34.48857346620173,"lock":false,"visible":true,"__type":"control"},{"uid":"Md4pru0HMC","x":60.370795209046726,"y":47.87187343440394,"lock":false,"visible":true,"__type":"control"},{"uid":"rRIqoBFFbJ","x":42.585093935514855,"y":45.93481686005888,"lock":false,"visible":true,"heading":140,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"EZDkf8fPD9"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":100},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.1},"maxDecelerationRate":127},"name":"Path","uid":"hz6gEpaK7e","lock":false,"visible":true}]}
